all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
| GRB 790325B|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 142|
| GRB 790325B|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 142|
| GRB 790325B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 142|
| GRB 790327A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 143|
| GRB 790327B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 144|
| GRB  790329|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 145|
| GRB  790329|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 145|
| GRB  790331|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 146|
| GRB  790331|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 146|
| GRB  790331|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 146|
| GRB  790331|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 146|
| GRB 790402A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 147|
| GRB 790402B|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 148|
| GRB 790402B|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 148|
| GRB 790402B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 148|
| GRB  790404|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 149|
| GRB  790405|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 150|
| GRB  790406|   -0.000000000000000|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 151|
| GRB  790406|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 151|
| GRB  790406|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 151|
| GRB  790406|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 151|
| GRB  790406|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 151|
| GRB 790412A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 152|
| GRB 790412B|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 153|
| GRB 790412B|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 153|
| GRB 790412B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 153|
